keys,fr,en
EVOLUTION_THROW_DESC,"Votre capacité devient Lancer. La dernière chose mangée est stockée dans vos bajoue et peu-être proprulser sur une proie pour la blesser au coût de la moitié de sa valeur en nourriture.", "Your active ability becomes Throw, the last thing you ate is stored in your mouth and can be hurled at other animals, damaging them, but costing you hal of the thrown food value."
EVOLUTION_BIG_CHEEKS,Bajoues,Big cheeks
EVOLUTION_BIG_CHEEKS_DESC,"Votre lignée peut stocker plus de nourriture dans ses bajoues, augementant le nombre de nourriture qui peut-être lancée.", "You can store one more food into your cheeks, augmenting the number of your max ammunitions."
EVOLUTION_DASH,Bond,Dash
EVOLUTION_DASH_DESC,"Votre capacité devient Bond. Vous pouvez bondir dans votre direction actuelle pour fuire ou éviter un animal.", "Your active ability becomes dash, you can jump toward your current direction to avoid or attack other animals"
UNLOCK_THROW,"Vous avez débloqué l'évolution ""Lancer"" qui remplace votre dash par la capacité d'attaquer vos concurrents avec de la nourriture","You unlocked ""Throw"" mutation, allowing to replace your dash by capability to throw eaten food to concurrents, damaging them"
TUTO_MOVE,"Bougez avec les touches directionnelles.","Move with directional keys"
TUTO_ACT,"Bondissez avec la touche espace.","Dash with escape key"
TUTO_YOU,"Vous êtes un membre de l'espèce des Megacricetodon. Votre lignée tente de survivre aux âges.","You are a member of Megacricetodon species. You are trying to survives to eras."
TUTO_ESCAPE,"Evitez les prédateurs.","Escape your predators"
TUTO_EAT,"Mangez pour survivre.","Eat to survive."
TUTO_CYCLE,"A la fin de chaque cycle, votre lignée et les autres animaux évoluent.","At the end of each cycle, you and other animals evolve."
BUTTON_SURVIVE,"Survivez","Survive"
ADAPT_LABEL,"EVOLUEZ !","ADAPT !"
WIKI_ANIMALS_SECTION,"Animaux","Animals"
WIKI_DEINO_DESC,"With a name meaning “Terrible Galerix”, [i]Deinogalerix[/i] is a gymnure, a cousin of hedgehogs with no quills. About 60 cm long, its long jaws and sharp teeth are perfectly adapted to eat small prey. It was only found on Gargano Island during the late Miocene.","With a name meaning “Terrible Galerix”, [i]Deinogalerix[/i] is a gymnure, a cousin of hedgehogs with no quills. About 60 cm long, its long jaws and sharp teeth are perfectly adapted to eat small prey. It was only found on Gargano Island during the late Miocene."
WIKI_GARGANO_DESC,"[i]Garganornis[/i] (“Gargano bird”) was a large Anatidae (the family of swans, geese and ducks). Thicker leg bones and short and robust wings suggest that it was flightless. This lifestyle was likely the result of its size increase, which acted as a deterrent to predators. Its estimated weight ranged between 15 and 22 kilograms, larger than any living Anatidae.","[i]Garganornis[/i] (“Gargano bird”) was a large Anatidae (the family of swans, geese and ducks). Thicker leg bones and short and robust wings suggest that it was flightless. This lifestyle was likely the result of its size increase, which acted as a deterrent to predators. Its estimated weight ranged between 15 and 22 kilograms, larger than any living Anatidae."
WIKI_HOPLI_DESC,"Also known as prongdeer, Hoplitomeryx is an extinct ruminant endemic to Gargano Island. It is famous for its five horns, as well as protruding canines reminiscent of the extant musk deer. They showed a huge diversity of sizes and morphologies: it could be explained by the lack of predators on the island, with the exception of the giant owl Tyto.","Also known as prongdeer, Hoplitomeryx is an extinct ruminant endemic to Gargano Island. It is famous for its five horns, as well as protruding canines reminiscent of the extant musk deer. They showed a huge diversity of sizes and morphologies: it could be explained by the lack of predators on the island, with the exception of the giant owl Tyto."
WIKI_MEG_DESC,"The Megs belong to an extinct genus of hamsters that was found from Western Europe to China during the Miocene. It was remarkably diverse and abundant. Perhaps not as impressive as other Megs (which happens to be the nicknames for a large dinosaur Megalosaurus AND a gigantic shark Otodus megalodon), their adaptability was peerless!","The Megs belong to an extinct genus of hamsters that was found from Western Europe to China during the Miocene. It was remarkably diverse and abundant. Perhaps not as impressive as other Megs (which happens to be the nicknames for a large dinosaur Megalosaurus AND a gigantic shark Otodus megalodon), their adaptability was peerless!"
WIKI_MIKRO_DESC,"An extinct rodent from the mice family (the Muridae), Mikrotia was found everywhere in Gargano throughout the upper Miocene. The oldest Mikrotia species were small and had teeth similar to extant mice - suggesting an omnivorous diet. By the end of the Miocene, Mikrotia magna was much larger and had evolved high-crowned, ridged teeth adapted to herbivory.","An extinct rodent from the mice family (the Muridae), Mikrotia was found everywhere in Gargano throughout the upper Miocene. The oldest Mikrotia species were small and had teeth similar to extant mice - suggesting an omnivorous diet. By the end of the Miocene, Mikrotia magna was much larger and had evolved high-crowned, ridged teeth adapted to herbivory."
WIKI_PIKA_DESC,"Prolagus is an extinct genus of pika - the same family as rabbits. Prolagus emerged during the early Miocene but survived on several Mediterranean islands until Roman times. Prolagus imperialis was endemic to Gargano Island, and it weighed about 5 kilograms - making it the largest pika ever described.","Prolagus is an extinct genus of pika - the same family as rabbits. Prolagus emerged during the early Miocene but survived on several Mediterranean islands until Roman times. Prolagus imperialis was endemic to Gargano Island, and it weighed about 5 kilograms - making it the largest pika ever described."
WIKI_TYTO_DESC,"This cousin of the Western barn owl was twice as large. It is thought that the large size of Tyto gigantea was an adaptation to the larger preys on Gargano Island. Just like the extant eagle-owl, it may have been able to prey on the large pika Prolagus and even small ungulates such as Hoplitomeryx calves.","This cousin of the Western barn owl was twice as large. It is thought that the large size of Tyto gigantea was an adaptation to the larger preys on Gargano Island. Just like the extant eagle-owl, it may have been able to prey on the large pika Prolagus and even small ungulates such as Hoplitomeryx calves."
WIKI_PLANTS_SECTION,"Plantes","Plants"
WIKI_ADAPTATIONS_SECTION,"Adaptations","Adaptations"
WIKI_EPOCHS_SECTION,"Eres","Epochs"
WIKI_GARGANO_SECTION,"Île de Gargano","Gargano Island"
WIKI_BACK_BUTTON,"Retour","Back"
FANG_SIZE,"Crocs: ","Fangs: "
